=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.14 15:23:42 =~=~=~=~=~=~=~=~=~=~=~=
Started
Initializing Accelerometer, Magnetometer, and Gyroscope
X_a,Y_a,Z_a,X_m,Y_m,Z_m,X_g,Y_g,Z_g
0.00,-0.03,0.97,-42.71,49.89,-52.89,0.49,0.06,0.00
0.00,-0.03,0.97,-42.91,50.12,-53.30,0.37,0.18,0.18
0.00,-0.03,0.97,-42.77,50.32,-53.09,0.43,0.06,0.06
0.01,0.00,0.96,-43.13,50.12,-52.93,0.37,-0.12,-0.06
0.01,-0.04,0.97,-42.91,50.50,-54.00,0.49,0.06,0.00
0.02,-0.03,0.97,-42.61,49.88,-52.31,0.18,0.12,0.24
-0.02,-0.07,0.97,-42.46,50.21,-53.45,0.31,0.12,0.18
0.00,-0.03,0.97,-42.83,50.24,-54.35,0.18,0.06,0.00
0.00,-0.04,0.97,-42.63,50.60,-53.23,0.18,-0.06,0.06
0.05,0.01,0.96,-42.60,50.55,-52.93,0.31,0.12,0.00
0.01,-0.03,0.97,-42.83,50.51,-52.51,0.24,0.00,0.00
0.01,-0.03,0.97,-42.79,50.15,-51.64,0.43,0.12,0.18
-0.04,-0.06,0.97,-43.03,50.39,-53.50,0.49,-0.12,0.18
-0.05,-0.09,0.97,-42.88,50.73,-52.48,0.61,-0.12,0.31
-0.01,-0.04,0.96,-42.88,50.10,-54.33,0.31,0.18,0.24
0.00,-0.03,0.96,-42.76,50.17,-53.59,0.55,0.00,0.18
0.00,-0.03,0.96,-42.64,50.05,-53.22,0.43,0.06,0.12
0.00,-0.03,0.96,-42.04,49.93,-52.42,0.49,0.00,0.06
0.00,-0.03,0.97,-43.32,50.93,-53.14,0.61,0.18,0.31
0.00,-0.03,0.96,-43.68,50.77,-52.38,0.24,0.18,0.12
0.00,-0.03,0.97,-43.21,50.62,-52.81,0.37,-0.18,0.12
0.00,-0.03,0.97,-41.92,49.99,-53.17,0.49,0.12,0.12
0.01,-0.04,0.97,-43.92,49.98,-53.39,0.43,0.12,0.12
0.00,-0.03,0.97,-43.16,49.98,-53.65,0.49,0.00,0.12
0.00,-0.04,0.97,-43.15,50.32,-53.82,0.37,0.06,-15.63
-0.02,-0.03,0.97,-43.14,50.83,-52.38,0.43,0.18,0.37
0.00,-0.03,0.97,-42.77,50.17,-52.87,0.43,0.00,0.12
0.00,-0.03,0.97,-42.94,50.09,-52.67,0.43,0.18,0.06
-0.01,-0.02,0.96,-42.64,50.29,-52.91,0.31,0.06,0.31
-0.00,-0.07,0.97,-42.70,50.34,-52.81,0.31,-0.31,-0.24
0.01,-0.04,0.96,-43.31,50.35,-52.33,0.37,-0.24,-0.31
0.03,-0.01,0.96,-43.12,50.01,-52.83,0.43,-0.18,-0.31
-0.01,-0.04,0.96,-43.08,50.61,-53.33,0.31,0.31,0.12
-0.00,-0.06,0.97,-43.16,50.33,-52.51,0.49,-0.12,0.06
0.01,-0.01,0.97,-42.77,50.57,-52.34,0.37,0.18,0.31
0.02,-0.01,0.96,-42.83,50.43,-53.14,0.49,0.12,0.06
0.00,-0.03,0.97,-43.03,50.35,-54.19,0.49,0.00,0.24
0.01,-0.03,0.97,-43.48,50.93,-52.70,0.49,0.12,0.18
0.01,-0.03,0.97,-43.20,50.23,-53.78,0.43,0.12,0.12
0.02,-0.03,0.96,-43.26,50.33,-53.98,0.55,0.00,0.06
-0.00,-0.03,0.97,-43.07,50.26,-53.70,0.24,0.00,0.12
0.00,-0.03,0.97,-42.85,49.98,-52.60,0.31,0.00,0.06
0.00,-0.03,0.97,-42.54,50.13,-53.69,0.49,0.12,0.31
0.01,-0.03,0.97,-43.48,50.46,-53.32,0.55,0.06,0.06
0.01,-0.03,0.97,-42.66,50.44,-52.70,0.37,0.12,0.06
0.00,-0.03,0.96,-42.65,50.18,-53.15,0.37,0.12,0.31
0.01,-0.03,0.97,-43.07,50.38,-53.09,0.43,0.06,0.06
0.02,-0.01,0.97,-43.19,50.95,-52.84,0.43,0.06,-0.06
0.00,-0.03,0.96,-42.83,50.60,-52.33,0.49,0.24,0.37
-0.00,-0.03,0.95,-42.41,50.27,-53.82,0.61,0.06,-0.06
0.00,-0.02,0.97,-42.70,50.70,-53.25,0.37,0.06,0.06
0.01,-0.03,0.97,-42.74,50.83,-52.15,0.43,0.12,0.24
0.00,-0.03,0.97,-42.93,49.83,-52.62,0.43,0.00,0.18
0.00,-0.04,0.97,-43.44,50.70,-52.29,0.43,0.06,0.18
0.02,-0.01,0.97,-43.07,50.62,-52.54,0.37,0.18,0.31
-0.00,-0.04,0.97,-42.86,50.11,-52.95,0.37,0.00,0.06
0.01,-0.03,0.96,-43.36,50.57,-54.86,0.24,0.24,0.18
0.01,-0.04,0.97,-42.82,50.81,-52.77,0.18,0.12,0.06
-0.00,-0.04,0.97,-43.54,50.31,-52.06,0.55,0.24,0.12
0.01,-0.03,0.97,-43.59,50.55,-53.26,0.43,0.12,0.24
-0.00,-0.00,0.96,-43.14,50.67,-53.81,0.37,-0.06,-0.06
0.01,-0.02,0.97,-43.05,50.61,-52.38,0.37,0.12,0.12
0.00,-0.02,0.97,-43.51,50.44,-52.50,0.37,-0.24,0.12
0.01,-0.04,0.97,-43.40,50.60,-53.15,0.61,0.12,0.00
-0.00,-0.04,0.97,-42.85,50.18,-53.65,0.49,0.00,0.12
0.01,-0.03,0.97,-43.40,50.44,-52.22,0.31,0.06,0.12
0.00,-0.02,0.97,-43.49,50.32,-52.49,0.49,0.06,0.00
0.01,-0.04,0.96,-43.71,50.52,-52.70,0.37,0.06,0.06
0.00,-0.03,0.97,-43.13,50.01,-52.15,0.43,0.06,0.00
-0.01,-0.04,0.96,-43.84,50.59,-54.10,0.37,0.12,0.31
0.03,-0.01,0.97,-43.69,50.34,-52.75,0.31,0.06,0.00
0.01,-0.03,0.97,-43.68,50.31,-51.56,0.43,0.00,0.12
-0.00,-0.03,0.97,-43.37,50.78,-51.25,0.49,0.12,0.18
0.00,-0.03,0.97,-43.65,50.35,-52.98,0.43,0.00,0.06
0.00,-0.03,0.97,-42.88,50.45,-52.97,0.49,0.00,0.12
0.00,-0.03,0.97,-43.81,50.23,-52.36,0.49,0.06,0.18
0.00,-0.03,0.97,-43.26,50.23,-52.75,0.55,0.24,0.12
0.01,-0.03,0.97,-43.40,50.01,-52.94,0.55,0.00,0.18
0.00,-0.03,0.97,-43.42,50.38,-53.27,0.31,0.00,0.00
0.00,-0.03,0.97,-43.54,50.22,-51.70,0.55,0.06,0.12
0.00,-0.03,0.97,-43.30,50.31,-51.99,0.49,0.06,0.12
0.00,-0.03,0.97,-43.05,50.13,-52.27,0.31,0.12,0.12
0.00,-0.03,0.97,-43.54,50.50,-52.76,0.24,0.06,0.24
0.01,-0.03,0.97,-42.85,50.70,-53.11,0.24,0.06,0.06
-0.00,-0.03,0.97,-42.57,50.34,-52.71,0.31,0.06,0.12
0.01,-0.04,0.97,-43.41,50.57,-52.34,0.49,0.12,0.12
0.00,-0.03,0.96,-43.69,50.29,-52.77,0.43,0.00,0.12
0.00,-0.03,0.97,-43.63,50.45,-52.26,0.24,0.06,0.06
0.00,-0.03,0.97,-43.27,50.34,-51.77,0.31,0.00,0.00
0.00,-0.03,0.97,-42.85,50.60,-52.61,0.43,-0.12,0.00
0.01,-0.03,0.97,-43.43,50.34,-53.77,0.43,0.06,0.12
0.01,-0.03,0.97,-43.09,50.71,-53.13,0.49,-0.12,0.12
0.00,-0.03,0.97,-43.05,50.15,-54.20,0.18,0.06,0.12
0.00,-0.03,0.97,-42.94,49.96,-52.25,0.49,0.00,0.12
0.00,-0.03,0.97,-43.40,50.46,-52.98,0.31,0.00,0.24
0.01,-0.03,0.96,-43.29,50.45,-52.92,0.37,-0.12,0.06
0.00,-0.03,0.97,-42.88,50.35,-52.65,0.49,0.24,0.00
0.00,-0.03,0.97,-43.10,50.42,-52.40,0.43,0.12,0.37
0.01,-0.02,0.96,-42.80,50.28,-52.80,0.49,0.06,0.37
0.00,-0.03,0.97,-43.03,50.55,-53.52,0.43,0.00,0.18
0.00,-0.03,0.97,-43.36,50.35,-53.14,0.31,0.06,0.12
0.00,-0.04,0.97,-42.74,50.44,-54.08,0.37,0.24,0.12
0.00,-0.03,0.96,-43.07,50.12,-51.57,0.49,0.06,0.12
0.01,-0.03,0.96,-43.51,50.31,-53.00,0.55,0.24,0.24
0.00,-0.03,0.97,-42.42,50.15,-53.19,0.43,0.24,0.24
0.00,-0.03,0.97,-43.64,50.55,-52.80,0.55,0.06,0.12
0.00,-0.03,0.97,-43.86,49.88,-52.97,0.43,0.12,0.00
0.00,-0.03,0.97,-43.74,50.28,-54.04,0.24,-0.06,-0.06
0.00,-0.03,0.97,-43.08,50.12,-52.56,0.43,-0.12,0.00
0.00,-0.03,0.97,-42.88,50.13,-53.15,0.31,0.18,0.12
0.00,-0.03,0.97,-43.12,50.44,-52.81,0.37,0.00,0.06
0.01,-0.03,0.96,-43.40,50.21,-52.87,0.37,0.12,0.31
0.00,-0.03,0.97,-42.55,50.52,-54.02,0.37,0.12,0.06
0.00,-0.03,0.97,-42.93,50.24,-51.92,0.31,-0.06,0.00
0.01,-0.03,0.97,-43.35,50.49,-53.28,0.37,0.00,0.18
0.00,-0.03,0.97,-43.81,50.42,-53.65,0.37,0.06,0.18
0.00,-0.03,0.98,-43.62,50.70,-53.03,0.43,-0.06,0.06
0.01,-0.03,0.96,-43.19,50.32,-53.32,0.24,-0.06,0.06
0.00,-0.03,0.97,-43.20,50.48,-52.36,0.18,0.06,0.12
0.00,-0.03,0.97,-43.02,50.33,-52.62,0.55,0.00,0.24
0.00,-0.03,0.97,-43.40,49.85,-52.66,0.43,0.18,0.06
0.00,-0.03,0.97,-43.09,50.23,-53.75,0.49,0.06,0.18
0.00,-0.03,0.97,-43.16,50.13,-52.95,0.55,0.06,0.00
0.00,-0.03,0.97,-43.07,50.38,-52.98,0.31,0.18,0.06
0.00,-0.03,0.97,-43.20,50.21,-53.04,0.37,0.12,0.06
0.00,-0.03,0.97,-42.53,50.13,-52.70,0.37,0.18,0.18
0.00,-0.03,0.97,-42.83,49.78,-52.89,0.43,0.06,0.24
0.00,-0.03,0.97,-43.32,50.56,-53.10,0.49,0.18,0.24
0.01,-0.03,0.97,-43.08,50.00,-52.45,0.49,0.00,0.12
0.00,-0.03,0.97,-43.40,50.32,-54.36,0.43,0.06,0.00
0.00,-0.03,0.97,-42.79,50.27,-52.88,0.37,0.12,0.00
0.01,-0.03,0.97,-43.36,50.24,-52.62,0.31,0.06,0.00
0.00,-0.03,0.97,-43.43,50.43,-52.15,0.31,-0.06,0.06
0.00,-0.03,0.97,-44.14,50.55,-53.54,0.43,0.06,0.24
0.00,-0.03,0.97,-43.33,50.55,-53.06,0.49,0.06,0.18
0.01,-0.03,0.97,-42.93,50.73,-52.78,0.37,0.06,0.12
0.00,-0.03,0.97,-42.66,50.16,-53.41,0.37,0.12,0.18
0.00,-0.03,0.97,-43.23,50.38,-52.76,0.24,0.00,0.06
0.00,-0.03,0.97,-43.24,50.31,-53.39,0.49,-0.06,0.18
0.01,-0.03,0.97,-43.35,50.37,-53.19,0.37,0.12,0.00
0.01,-0.03,0.97,-43.47,50.42,-53.30,0.49,0.06,0.06
0.01,-0.03,0.97,-43.41,50.51,-53.42,0.49,0.06,0.18
0.00,-0.03,0.96,-43.09,50.46,-52.39,0.24,-0.06,0.12
0.00,-0.03,0.96,-43.53,50.66,-51.75,0.37,-0.06,-0.06
0.01,-0.03,0.97,-43.19,50.12,-52.89,0.12,0.12,0.06
0.00,-0.03,0.97,-43.05,49.98,-53.91,0.24,0.18,0.12
0.00,-0.03,0.96,-43.37,50.43,-53.41,0.31,0.12,0.31
0.00,-0.03,0.97,-42.94,50.63,-53.36,0.43,0.00,0.18
0.00,-0.03,0.96,-43.70,50.22,-54.21,0.37,0.06,0.06
0.00,-0.03,0.97,-42.40,50.07,-53.41,0.37,-0.06,0.06
0.00,-0.03,0.97,-43.74,50.27,-52.77,0.37,0.06,0.24
0.01,-0.03,0.96,-43.44,50.31,-53.39,0.49,-0.06,0.12
0.00,-0.03,0.97,-43.03,50.10,-54.54,0.37,0.06,0.00
0.00,-0.03,0.97,-43.01,50.29,-52.97,0.55,0.06,0.06
0.00,-0.03,0.97,-43.38,50.06,-52.75,0.55,0.12,0.24
0.00,-0.03,0.97,-43.18,50.52,-52.34,0.49,0.06,0.06
0.00,-0.03,0.97,-43.09,50.94,-53.71,0.67,0.06,0.18
0.00,-0.03,0.97,-42.83,50.18,-53.03,0.43,0.00,0.18
0.00,-0.03,0.97,-43.36,50.84,-53.85,0.55,0.18,0.24
0.00,-0.03,0.96,-43.33,50.00,-52.81,0.49,0.12,0.06
0.01,-0.03,0.97,-43.71,50.59,-53.69,0.37,0.06,0.12
0.00,-0.03,0.97,-43.90,50.74,-52.49,0.24,0.06,0.06
0.00,-0.03,0.96,-43.35,50.24,-52.65,0.55,0.00,0.06
0.00,-0.03,0.96,-43.92,50.23,-52.82,0.43,0.18,0.06
0.01,-0.03,0.97,-44.04,50.31,-53.33,0.55,0.06,0.18
0.00,-0.03,0.97,-43.44,50.70,-52.54,0.31,0.12,0.06
0.00,-0.03,0.97,-44.03,51.44,-53.02,0.49,0.00,0.06
0.00,-0.03,0.97,-44.03,50.87,-53.66,0.49,0.12,0.24
0.01,-0.03,0.97,-43.73,50.18,-53.31,0.55,-0.06,0.18
0.00,-0.03,0.97,-43.24,50.09,-53.20,0.37,-0.12,0.06
0.00,-0.03,0.96,-43.42,50.00,-53.58,0.31,0.00,0.12
0.00,-0.03,0.97,-43.43,50.26,-53.42,0.37,0.00,0.00
0.00,-0.03,0.97,-43.44,50.27,-53.83,0.31,-0.06,0.00
0.00,-0.03,0.97,-43.64,50.40,-53.10,0.43,0.12,0.12
0.00,-0.03,0.97,-43.44,50.37,-53.23,0.43,0.31,0.00
0.00,-0.03,0.97,-43.74,50.21,-52.82,0.37,0.06,0.18
0.00,-0.03,0.97,-43.51,50.57,-53.08,0.24,0.12,0.12
0.01,-0.03,0.97,-42.86,50.28,-53.33,0.24,0.00,-0.06
0.01,-0.03,0.97,-43.21,50.26,-54.16,0.31,0.06,0.18
0.00,-0.03,0.97,-43.62,50.28,-51.99,0.49,-0.06,0.06
0.00,-0.03,0.97,-43.01,50.20,-52.65,0.49,0.00,0.12
0.01,-0.03,0.96,-42.91,50.51,-52.86,0.55,0.12,0.18
0.00,-0.03,0.97,-43.47,50.28,-51.34,0.55,0.00,0.24
0.01,-0.03,0.96,-43.69,50.24,-52.80,0.37,-0.24,0.06
0.00,-0.03,0.97,-42.96,50.34,-53.31,0.43,0.06,0.06
0.00,-0.03,0.97,-43.70,50.22,-53.28,0.43,0.06,0.12
0.01,-0.03,0.97,-43.73,49.95,-52.83,0.43,0.12,0.06
0.00,-0.03,0.97,-43.21,50.16,-53.56,0.43,0.00,0.12
0.00,-0.03,0.97,-43.18,50.18,-53.74,0.55,-0.06,0.12
0.01,-0.03,0.97,-43.33,50.49,-51.04,0.49,0.12,0.00
0.01,-0.03,0.97,-42.70,50.33,-52.10,0.49,-0.06,0.12
0.00,-0.03,0.97,-42.63,50.40,-53.52,0.31,0.18,0.18
0.00,-0.03,0.97,-42.97,50.16,-53.33,0.49,0.00,0.06
0.00,-0.03,0.97,-42.50,50.60,-53.97,0.55,0.12,0.18
0.00,-0.03,0.97,-43.31,50.63,-52.94,0.55,0.06,0.31
0.00,-0.03,0.97,-43.31,50.33,-51.82,0.43,-0.18,0.18
0.00,-0.03,0.97,-43.15,50.31,-52.91,0.37,0.06,-0.12
0.01,-0.03,0.97,-43.01,50.00,-53.31,0.31,0.06,0.18
0.00,-0.03,0.96,-42.94,49.94,-53.15,0.49,0.00,0.12
0.00,-0.03,0.97,-43.73,50.16,-52.78,0.37,0.06,0.06
0.01,-0.03,0.97,-43.79,50.28,-52.59,0.24,0.06,0.18
0.00,-0.03,0.96,-43.46,50.27,-52.86,0.43,-0.12,0.18
0.00,-0.03,0.97,-43.12,50.32,-52.80,0.43,0.06,0.12
0.00,-0.03,0.97,-43.26,50.26,-51.93,0.31,0.06,0.12
0.00,-0.03,0.97,-43.19,50.57,-51.62,0.24,-0.12,0.06
0.00,-0.03,0.96,-42.74,50.35,-52.94,0.43,0.12,0.24
0.00,-0.03,0.97,-43.23,50.59,-52.59,0.43,0.06,0.06
0.00,-0.03,0.97,-42.75,49.87,-52.58,0.49,0.00,0.18
0.00,-0.03,0.97,-43.74,50.62,-51.90,0.43,-0.12,0.06
0.00,-0.03,0.97,-43.75,50.89,-53.04,0.49,0.00,-0.06
0.00,-0.03,0.97,-43.09,50.09,-52.80,0.31,-0.12,0.18
0.00,-0.03,0.97,-43.25,50.31,-53.32,0.31,0.06,0.06
0.00,-0.03,0.97,-42.92,50.50,-52.56,0.37,0.24,0.24
0.00,-0.03,0.97,-43.14,50.31,-53.34,0.43,0.12,0.06
0.00,-0.03,0.97,-43.12,50.73,-52.50,0.67,0.24,0.18
0.00,-0.03,0.97,-42.76,50.50,-51.54,0.43,0.06,0.06
0.01,-0.03,0.97,-43.33,50.21,-53.13,0.31,0.06,0.18
0.00,-0.03,0.97,-43.68,50.16,-53.14,0.43,0.12,0.12
0.00,-0.03,0.96,-43.47,50.24,-53.00,0.43,0.06,0.24
0.01,-0.03,0.96,-42.98,50.28,-52.78,0.43,-0.06,0.12
0.01,-0.03,0.97,-43.04,50.23,-52.31,0.49,0.06,0.18
0.01,-0.03,0.97,-43.31,50.29,-51.84,0.55,0.18,0.12
0.00,-0.03,0.97,-43.01,50.65,-52.67,0.61,-0.06,0.06
0.00,-0.03,0.97,-42.92,50.56,-52.40,0.49,-0.12,0.00
0.00,-0.03,0.97,-43.12,50.59,-52.92,0.43,0.06,0.06
0.00,-0.03,0.97,-43.26,50.33,-52.23,0.37,0.06,0.18
0.00,-0.03,0.97,-43.29,50.29,-52.36,0.43,0.00,-0.06
0.00,-0.03,0.97,-43.71,50.76,-52.91,0.43,0.00,0.06
0.01,-0.03,0.97,-43.29,50.52,-53.05,0.24,0.18,0.00
0.00,-0.03,0.96,-43.20,49.94,-52.55,0.43,0.24,0.24
0.00,-0.03,0.96,-43.20,49.94,-52.17,0.49,0.06,0.06
0.01,-0.03,0.97,-43.63,50.65,-53.67,0.31,0.00,-0.12
-0.00,-0.03,0.96,-43.71,50.46,-54.06,0.12,-0.06,0.12
0.00,-0.03,0.97,-43.01,50.81,-53.65,0.31,0.12,0.24
0.00,-0.03,0.97,-43.37,50.15,-53.39,0.43,0.00,0.12
0.00,-0.03,0.97,-43.38,50.28,-52.80,0.37,-0.06,0.00
0.00,-0.03,0.97,-43.37,50.18,-53.59,0.43,0.06,0.12
0.01,-0.03,0.97,-43.02,50.13,-52.48,0.31,0.00,0.18
0.00,-0.03,0.97,-43.23,50.79,-52.80,0.24,0.06,0.12
0.00,-0.03,0.97,-43.41,50.23,-53.67,0.31,0.06,0.18
0.01,-0.03,0.97,-43.96,50.76,-52.98,0.55,0.18,0.00
0.00,-0.03,0.97,-44.03,50.93,-52.84,0.37,0.18,0.18
0.01,-0.03,0.97,-42.90,50.95,-52.98,0.43,0.18,0.31
0.00,-0.03,0.97,-42.98,50.44,-53.10,0.49,0.18,0.18
0.01,-0.04,0.97,-43.53,50.63,-52.33,0.49,0.18,0.18
0.00,-0.03,0.97,-43.19,50.46,-52.22,0.49,0.00,0.12
0.00,-0.03,0.97,-42.80,50.55,-52.25,0.49,-0.06,0.12
0.00,-0.03,0.97,-43.41,50.54,-52.75,0.55,0.12,0.18
0.01,-0.03,0.97,-43.15,50.35,-54.00,0.43,0.12,0.12
0.01,-0.03,0.96,-42.44,50.31,-53.42,0.49,0.18,0.24
0.00,-0.03,0.97,-42.37,50.50,-53.78,0.49,0.00,0.18
0.00,-0.03,0.97,-43.33,50.56,-52.39,0.43,0.00,0.12
0.00,-0.03,0.96,-43.16,50.79,-53.38,0.37,-0.06,0.06
0.00,-0.03,0.97,-43.14,50.27,-52.03,0.55,0.06,0.24
0.00,-0.03,0.97,-43.24,50.70,-52.97,0.43,0.00,0.12
0.00,-0.03,0.97,-43.19,51.10,-53.11,0.43,0.18,-0.06
0.00,-0.03,0.97,-43.25,50.38,-53.52,0.31,0.06,0.31
0.00,-0.03,0.97,-43.70,50.26,-53.27,0.43,0.12,-0.06
0.00,-0.03,0.97,-42.90,50.32,-53.47,0.37,0.12,0.18
0.00,-0.03,0.97,-42.99,50.77,-54.03,0.31,0.06,0.12
0.00,-0.03,0.97,-43.31,50.79,-53.81,0.43,0.12,0.12
0.00,-0.03,0.97,-43.25,50.52,-53.74,0.43,0.12,0.00
0.00,-0.03,0.97,-43.52,50.56,-54.22,0.31,-0.12,0.18
0.00,-0.03,0.97,-43.47,50.48,-53.41,0.24,0.12,0.12
0.00,-0.03,0.97,-43.79,50.43,-53.43,0.37,0.18,0.12
0.00,-0.03,0.97,-43.63,50.65,-52.47,0.18,15.56,0.12
0.00,-0.03,0.97,-43.16,50.63,-52.94,0.12,-0.06,0.06
0.00,-0.03,0.97,-42.81,50.00,-53.14,0.37,-0.06,0.12
0.00,-0.03,0.97,-42.86,50.27,-52.77,0.43,0.00,0.12
0.00,-0.03,0.97,-43.36,50.20,-53.87,0.37,0.06,0.18
0.00,-0.03,0.97,-43.24,50.93,-54.19,0.37,0.06,0.06
0.00,-0.03,0.97,-43.31,50.27,-54.36,0.37,0.00,0.12
0.00,-0.03,0.96,-43.04,50.49,-53.06,0.37,0.12,0.00
0.01,-0.03,0.97,-43.31,50.88,-53.82,0.43,0.00,0.18
0.00,-0.03,0.97,-43.19,50.13,-53.17,0.61,0.00,0.00
0.00,-0.03,0.97,-43.64,50.66,-54.43,0.43,0.06,0.12
0.00,-0.03,0.97,-42.68,50.60,-53.33,0.49,0.00,0.06
0.00,-0.03,0.97,-43.12,50.62,-52.04,0.37,0.18,0.18
0.00,-0.03,0.97,-43.30,50.23,-53.67,0.49,0.00,0.18
0.00,-0.03,0.97,-43.05,50.38,-53.06,0.43,0.06,0.00
0.00,-0.03,0.96,-42.98,50.18,-52.81,0.43,0.06,0.18
0.00,-0.03,0.97,-43.20,50.52,-53.32,0.31,0.06,0.06
0.01,-0.03,0.97,-43.64,50.57,-53.37,0.31,0.00,0.06
0.00,-0.03,0.97,-43.07,50.77,-53.63,0.43,-0.06,0.12
0.01,-0.03,0.96,-42.65,50.42,-52.54,0.61,0.06,0.12
0.00,-0.03,0.96,-43.01,50.45,-52.36,0.55,0.12,0.24
0.00,-0.03,0.97,-42.98,50.51,-53.56,0.49,0.00,0.00
0.00,-0.03,0.96,-43.65,50.79,-53.91,0.49,0.06,-0.06
0.00,-0.03,0.97,-43.65,50.67,-52.67,0.31,0.00,0.06
